a_volt,b_volt,c_volt,a_current,b_current,c_current
175.151,168.187,-241.849,-2225,-1569,1159
178.76,164.485,-241.849,-2226,-1590,1180
182.324,160.753,-241.849,-2224,-1608,1203
185.851,156.999,-241.849,-2222,-1627,1228
189.385,153.222,-241.849,-2220,-1648,1251
192.875,149.423,-241.849,-2217,-1665,1274
196.321,145.595,-241.849,-2214,-1683,1297
199.729,141.751,-241.849,-2211,-1701,1319
203.138,137.893,-241.849,-2210,-1718,1339
206.495,134.013,-241.849,-2206,-1735,1362
209.83,130.102,-241.849,-2199,-1754,1385
213.142,126.177,-241.849,-2198,-1771,1404
216.396,122.237,-241.849,-2193,-1788,1426
219.664,118.282,-241.849,-2188,-1804,1448
222.836,114.313,-241.849,-2184,-1820,1468
226.038,110.306,-241.849,-2179,-1835,1487
229.128,106.276,-241.849,-2175,-1851,1508
232.264,102.247,-241.849,-2169,-1867,1529
235.325,98.2179,-241.849,-2161,-1883,1549
238.356,94.1664,-241.849,-2153,-1899,1570
241.373,90.0851,-241.849,-2145,-1913,1589
242.283,85.9964,-241.849,-2139,-1925,1608
242.223,81.8929,-241.849,-2132,-1942,1627
242.283,77.7819,-241.849,-2122,-1956,1646
242.268,73.6635,-241.849,-2116,-1969,1663
242.283,69.5302,-241.849,-2107,-1982,1681
242.283,65.382,-241.849,-2097,-1993,1701
242.283,61.2264,-241.849,-2088,-2005,1717
242.283,57.0633,-241.849,-2079,-2017,1734
242.283,52.8929,-241.849,-2070,-2029,1752
242.283,48.715,-241.849,-2061,-2040,1768
242.283,44.5296,-241.849,-2050,-2053,1784
242.283,40.3294,-241.849,-2038,-2065,1802
242.283,36.1292,-241.849,-2025,-2075,1819
242.283,31.9216,-241.849,-2014,-2085,1835
242.283,27.7139,-241.849,-2003,-2096,1849
242.283,23.4914,-241.849,-1992,-2104,1864
242.283,19.2615,-241.849,-1979,-2114,1880
242.283,15.0464,-241.849,-1967,-2126,1895
242.283,10.8313,-241.849,-1953,-2134,1910
242.283,6.60882,-241.849,-1938,-2142,1925
242.283,2.37144,-241.849,-1925,-2150,1939
242.283,-1.85106,-241.849,-1913,-2156,1951
242.283,-6.07357,-241.849,-1899,-2163,1963
242.283,-10.2961,-241.849,-1885,-2170,1976
242.283,-14.5112,-241.849,-1871,-2178,1986
242.283,-18.7337,-241.849,-1856,-2185,2000
242.283,-22.9562,-241.849,-1838,-2191,2016
242.283,-27.1712,-241.849,-1825,-2196,2026
242.283,-31.3715,-241.849,-1809,-2202,2037
242.283,-35.5791,-241.849,-1791,-2207,2049
242.283,-39.7793,-241.849,-1777,-2212,2058
242.283,-43.9646,-241.849,-1761,-2218,2069
242.283,-48.15,-241.849,-1741,-2221,2081
242.283,-52.3279,-241.849,-1725,-2226,2091
242.283,-56.4984,-241.849,-1707,-2230,2100
242.283,-60.6614,-241.849,-1690,-2230,2110
242.283,-64.8096,-241.842,-1673,-2233,2118
242.283,-68.9577,-241.849,-1656,-2236,2124
242.283,-73.091,-241.827,-1638,-2240,2134
242.283,-77.202,-241.849,-1617,-2241,2142
242.283,-81.313,-241.805,-1600,-2242,2149
242.283,-85.4166,-241.849,-1578,-2243,2158
242.283,-89.4979,-241.502,-1558,-2243,2166
242.283,-93.5643,-238.904,-1543,-2244,2170
242.283,-97.6381,-235.753,-1522,-2244,2176
242.283,-101.682,-232.771,-1502,-2245,2183
242.283,-105.704,-229.612,-1480,-2245,2189
242.283,-109.718,-226.542,-1459,-2244,2196
242.283,-113.71,-223.346,-1438,-2243,2201
242.283,-117.695,-220.165,-1414,-2240,2208
242.283,-121.665,-216.903,-1395,-2238,2211
242.283,-125.605,-213.633,-1375,-2236,2213
242.283,-129.53,-210.341,-1353,-2233,2218
242.283,-133.425,-207.005,-1330,-2231,2222
242.283,-137.313,-203.654,-1307,-2229,2226
242.283,-141.179,-200.245,-1288,-2225,2228
242.283,-145.022,-196.849,-1264,-2220,2231
242.283,-148.851,-193.388,-1243,-2215,2231
242.283,-152.657,-189.912,-1225,-2210,2230
242.283,-156.434,-186.406,-1199,-2206,2234
242.283,-160.165,-182.856,-1176,-2202,2234
242.283,-163.897,-179.306,-1151,-2197,2237
242.283,-167.607,-175.704,-1126,-2190,2238
242.283,-171.287,-172.065,-1103,-2184,2237
242.283,-174.937,-168.419,-1079,-2176,2237
242.283,-178.557,-164.729,-1059,-2169,2233
242.283,-182.163,-161.031,-1030,-2162,2236
242.283,-185.731,-157.311,-1006,-2156,2234
242.283,-189.284,-153.577,-984,-2149,2231
242.283,-192.793,-149.798,-956,-2139,2232
242.283,-196.28,-145.989,-935,-2130,2229
242.283,-199.737,-142.166,-909,-2122,2226
242.283,-203.156,-138.328,-885,-2112,2222
242.283,-206.554,-134.468,-861,-2103,2218
242.283,-209.914,-130.564,-835,-2093,2213
242.283,-213.266,-126.689,-810,-2085,2210
242.283,-216.545,-122.777,-781,-2074,2208
242.283,-219.831,-118.836,-758,-2061,2203
242.283,-223.042,-114.887,-732,-2051,2197
242.283,-226.268,-110.909,-705,-2040,2192
242.283,-229.428,-106.931,-679,-2029,2187
242.283,-232.535,-102.901,-657,-2018,2179
242.283,-235.68,-98.9007,-629,-2005,2174
242.283,-238.661,-94.8709,-600,-1993,2170
242.283,-241.872,-90.8189,-577,-1979,2161
242.283,-243.597,-86.7596,-550,-1964,2153
242.283,-243.575,-82.6633,-523,-1951,2145
242.283,-243.597,-78.5892,-498,-1936,2137
242.283,-243.597,-74.4782,-471,-1924,2128
242.283,-243.59,-70.3819,-443,-1910,2121
242.283,-243.597,-66.2856,-417,-1895,2112
242.283,-243.59,-62.1377,-391,-1882,2103
242.283,-243.597,-57.9972,-362,-1866,2094
242.283,-243.597,-53.8419,-337,-1850,2084
242.283,-243.597,-49.6792,-311,-1835,2073
242.283,-243.597,-45.5091,-283,-1820,2063
242.283,-243.597,-41.3538,-256,-1804,2053
242.283,-243.597,-37.169,-229,-1788,2042
242.283,-243.597,-32.9841,-201,-1771,2031
242.283,-243.597,-28.7919,-175,-1752,2019
242.283,-243.597,-24.5997,-151,-1734,2006
242.283,-243.597,-20.4149,-126,-1716,1994
242.283,-243.597,-16.2079,-101,-1697,1980
242.283,-243.597,-12.0157,-73,-1681,1968
242.283,-243.597,-7.83087,-47,-1664,1956
242.283,-243.597,-3.61652,-25,-1645,1939
242.283,-243.597,0.590452,1,-1624,1927
242.283,-243.597,4.78266,23,-1606,1913
242.283,-243.597,8.98225,49,-1587,1896
242.283,-243.597,13.1966,82,-1568,1884
242.283,-243.597,17.3962,119,-1549,1871
242.283,-243.597,21.5884,160,-1529,1856
242.283,-243.597,25.788,196,-1510,1841
242.283,-243.597,29.9655,222,-1487,1825
242.283,-243.597,34.1429,240,-1465,1808
242.283,-243.597,38.3351,258,-1446,1789
242.283,-243.597,42.4978,285,-1425,1774
242.283,-243.597,46.6753,314,-1403,1757
242.283,-243.597,50.8379,343,-1382,1739
242.283,-243.597,54.9932,372,-1360,1724
242.283,-243.597,59.1412,398,-1337,1706
242.275,-243.597,63.267,423,-1314,1687
242.283,-243.597,67.4075,449,-1292,1668
242.26,-243.597,71.5259,476,-1270,1650
